level1,neighbors
A6718-09-001,"A6718-09-002,A6718-09-007,"
A6732-16-002,"A6732-08-007,A6732-16-003,A6732-16-001,"
A6732-16-003,"A6732-16-004,A6732-16-005,A6732-16-002,"
A6733-20-008,"A6733-35-001,A6733-12-012,A6733-20-006,A6733-20-010,A6733-20-011,A6733-20-007,A6733-20-004,A6733-20-005,"
A6732-16-001,"A6732-08-007,A6732-08-006,A6732-16-004,A6732-16-002,A6732-08-011,"
A6733-20-006,"A6733-20-010,A6733-21-008,A6733-20-005,A6733-20-008,A6733-21-005,"
A6735-01-002,
A6733-20-004,"A6733-11-006,A6733-20-008,A6733-20-005,A6733-20-002,A6733-11-008,A6733-11-009,"
A6733-20-005,"A6733-14-006,A6733-21-005,A6733-20-008,A6733-20-006,A6733-20-004,A6733-14-009,A6733-11-009,"
A6733-20-002,"A6733-07-005,A6733-07-004,A6733-11-003,A6733-07-001,A6733-11-001,A6733-20-004,A6733-20-001,"
A6733-20-003,"A6733-12-012,A6733-12-006,A6733-20-001,"
A6735-01-005,"A6735-01-008,"
A6733-20-001,"A6737-24-012,A6737-26-009,A6733-07-004,A6733-07-001,A6733-20-002,A6733-20-003,"
A6720-01-001,
A6721-05-010,
A6725-04-003,"A6725-03-009,A6725-03-010,"
A6735-07-003,
A6734-23-011,"A6734-28-004,A6734-25-005,A6734-21-010,A6734-25-003,"
A6734-23-010,"A6734-23-009,A6734-30-006,A6734-31-003,A6734-30-002,A6734-11-008,A6734-22-003,A6734-31-002,A6734-31-004,A6734-20-009,A6734-25-005,A6734-29-006,"
A6732-22-009,"A6732-22-010,A6732-29-003,A6732-22-006,A6732-18-011,"
A6732-22-008,"A6732-20-007,A6732-31-008,A6732-22-011,A6732-31-005,A6732-31-004,A6732-22-007,A6732-22-005,"
A6727-16-009,"A6727-15-010,A6727-17-006,"
A6732-22-002,"A6732-14-008,A6732-14-009,A6732-22-001,A6732-22-004,"
A6727-16-006,"A6727-15-009,"
A6727-16-007,"A6727-17-001,A6727-17-004,"
A6732-22-007,"A6732-22-010,A6732-22-011,A6732-22-008,A6732-22-006,A6732-22-005,"
A6727-16-001,"A6727-11-009,A6727-14-006,A6727-16-002,A6727-14-008,A6727-12-005,A6727-12-006,"
A6727-16-002,"A6727-16-001,A6727-12-006,"
A6727-16-003,"A6727-14-008,"
A6737-14-010,"A6737-15-011,A6737-14-008,A6737-18-011,A6737-20-002,A6737-16-007,A6737-20-001,A6737-17-004,A6737-13-010,A6737-16-006,"
A6731-64-005,"A6731-60-008,A6731-62-011,A6731-59-008,A6731-63-005,A6731-60-006,"
A6731-64-006,"A6731-60-009,A6731-66-006,A6731-62-010,"
A6731-64-007,"A6731-72-012,A6731-69-001,A6731-59-008,A6731-67-009,A6731-72-002,"
A6731-64-001,"A6731-61-007,A6731-59-007,A6731-62-002,A6731-67-001,A6731-55-007,"
A6732-57-009,"A6732-57-007,A6732-57-008,A6732-61-001,A6732-59-002,"
A6731-64-003,"A6731-62-002,A6731-63-006,A6731-67-001,A6731-67-008,"
A6732-57-007,"A6732-54-005,A6732-57-008,A6732-61-001,A6732-57-009,A6732-55-006,"
A6732-57-006,"A6732-55-005,A6732-61-001,A6732-57-008,"
A6732-57-005,"A6732-56-008,A6732-58-003,A6732-55-005,A6732-54-006,A6732-57-008,"
A6732-57-004,"A6732-57-003,A6732-53-006,A6732-56-004,"
A6731-64-008,"A6731-69-004,A6731-69-007,A6731-63-009,A6731-63-006,"
A6731-64-009,"A6731-71-004,A6731-72-001,A6731-68-006,A6731-70-005,"
A6732-57-001,"A6732-53-003,A6732-52-007,A6732-54-005,"
A6735-07-009,"A6735-07-006,"
A6733-06-008,"A6733-08-001,A6733-09-001,A6733-06-009,A6733-06-006,A6733-06-007,A6733-06-005,"
A6733-06-009,"A6733-06-008,A6733-06-007,A6733-09-003,A6733-09-002,"
A6713-12-002,
A6733-06-002,"A6733-06-003,A6733-01-010,A6733-06-001,A6733-06-006,A6733-16-004,"
A6733-06-003,"A6733-06-002,A6733-06-006,A6733-06-004,"
A6733-06-001,"A6733-04-004,A6733-04-001,A6733-01-011,A6733-01-009,A6733-06-002,A6733-06-004,A6733-06-005,"
A6733-06-006,"A6733-16-004,A6733-06-008,A6733-06-002,A6733-06-003,A6733-06-007,A6733-06-004,A6733-06-005,"
A6733-06-007,"A6733-06-008,A6733-06-009,A6733-06-006,A6733-09-003,A6733-16-007,"
A6733-06-004,"A6733-06-003,A6733-06-001,A6733-06-006,A6733-06-005,"
A6737-08-010,"A6737-10-007,A6737-10-004,A6737-11-003,A6737-11-001,A6737-08-009,A6737-08-005,"
A6735-47-008,"A6735-53-002,A6735-53-003,A6735-47-004,A6735-47-006,A6735-47-001,A6735-47-003,"
A6732-48-004,"A6732-48-001,A6732-46-002,A6732-48-005,A6732-46-006,A6732-46-009,A6732-44-006,A6732-44-005,A6732-41-009,A6732-50-002,"
A6737-27-006,"A6733-12-002,A6737-24-011,A6737-25-011,A6737-24-013,A6737-27-005,A6737-27-004,A6737-27-007,A6737-27-001,A6737-27-003,"
A6735-41-007,"A6735-41-006,A6735-41-005,A6735-41-004,A6735-41-002,A6735-45-002,"
A6735-41-006,"A6735-41-007,"
A6701-07-004,"A6701-16-001,A6701-07-003,"
