area,week,male,female,delay(avg),young,middle,old,total,neighbor-total,result_label
A6736-12,37,5,4,5.333333333333333,1,6,2,9,53,x
A6736-12,38,3,3,1.8333333333333333,0,5,1,6,84,x
A6736-12,39,2,2,4.0,0,3,1,4,56,x
A6736-12,40,1,4,2.0,0,4,1,5,31,x
A6736-12,41,0,2,2.5,0,2,0,2,23,x
A6736-12,42,1,0,2.0,0,0,1,1,16,x
A6736-12,44,1,1,2.0,1,1,0,2,13,x
A6736-12,28,1,0,4.0,0,0,1,1,0,x
A6736-11,37,2,1,2.0,0,3,0,3,10,x
A6736-11,38,1,0,2.0,0,1,0,1,20,x
A6736-11,39,2,2,2.75,0,4,0,4,24,x
A6736-11,40,1,2,2.0,0,2,1,3,24,x
A6736-11,41,0,1,3.0,0,0,1,1,16,x
A6736-11,42,0,1,1.0,0,0,1,1,17,x
A6736-11,43,0,1,1.0,0,1,0,1,5,x
A6736-11,44,0,1,1.0,0,1,0,1,8,x
A6736-11,31,1,0,2.0,0,1,0,1,0,x
A6736-10,34,1,1,3.5,0,1,1,2,7,x
A6736-10,36,2,2,3.75,1,2,1,4,18,x
A6736-10,37,0,4,5.75,0,4,0,4,35,x
A6736-10,38,3,5,3.875,1,3,4,8,44,x
A6736-10,39,3,2,4.8,1,4,0,5,48,x
A6736-10,40,4,1,1.2,1,3,1,5,38,x
A6736-10,41,0,1,4.0,0,0,1,1,27,x
A6736-10,42,2,1,0.6666666666666666,0,2,1,3,18,x
A6736-10,43,1,1,1.5,0,1,1,2,11,x
A6736-10,44,3,1,1.5,0,1,3,4,12,x
A6736-17,33,1,0,1.0,0,1,0,1,1,x
A6736-17,35,1,0,2.0,0,1,0,1,5,x
A6736-17,36,0,1,5.0,0,1,0,1,12,x
A6736-17,37,1,2,3.0,1,2,0,3,7,x
A6736-17,38,4,3,4.142857142857143,1,3,1,7,13,x
A6736-17,39,3,4,3.0,1,4,2,7,17,x
A6736-17,40,1,0,1.0,0,1,0,1,5,x
A6736-17,41,1,1,8.5,0,1,1,2,10,x
A6736-17,42,1,0,4.0,0,1,0,1,5,x
A6736-17,43,0,2,1.5,0,1,0,2,5,x
A6736-17,44,0,1,3.0,0,0,1,1,2,x
A6736-17,45,0,1,1.0,0,1,0,1,1,x
A6736-17,29,0,1,2.0,0,1,0,1,0,x
A6736-16,36,2,3,4.2,0,5,0,5,12,x
A6736-16,37,2,1,3.0,0,3,0,3,9,x
