level2,neighbors
A6731-48,"A6731-42,A6731-32,A6731-46,A6731-54,A6731-38,A6731-51,"
A6704-03,"A6704-08,A6704-05,A6704-04,A6704-07,"
A6704-02,"A6701-26,A6706-05,A6706-04,A6708-03,A6704-01,A6708-01,A6704-04,A6704-07,"
A6704-05,"A6704-08,A6704-03,A6704-04,A6704-07,"
A6704-04,"A6704-09,A6704-08,A6709-02,A6709-01,A6704-01,A6704-03,A6704-02,A6704-05,A6704-07,A6704-06,"
A6704-07,"A6708-01,A6704-08,A6709-01,A6704-03,A6704-02,A6704-05,A6704-04,A6708-03,"
A6704-06,"A6706-07,A6704-10,A6704-09,A6706-06,A6706-05,A6704-01,A6704-04,"
A6712-11,"A6712-12,A6712-15,A6712-14,A6712-08,A6712-18,A6712-07,"
A6712-10,"A6712-06,A6712-13,A6712-04,A6715-01,A6712-09,"
A6712-13,"A6712-19,A6712-10,A6712-12,A6715-01,A6712-09,"
A6712-12,"A6712-11,A6712-13,A6712-14,A6712-08,A6712-09,A6712-19,"
A6735-49,"A6735-53,A6735-47,A6735-46,A6735-43,A6735-44,"
A6735-48,"A6735-45,A6735-38,A6735-51,A6735-56,A6735-54,"
A6712-17,"A6712-20,A6712-18,A6712-15,A6712-16,"
A6712-16,"A6712-20,A6712-19,A6712-15,A6712-14,A6712-17,"
A6735-45,"A6735-48,A6735-52,A6735-41,A6735-40,A6735-54,A6735-38,A6735-39,"
A6735-44,"A6735-57,A6735-58,A6735-59,A6735-49,A6736-06,A6735-52,A6735-53,A6735-50,A6735-46,A6735-56,A6734-10,A6735-43,A6735-42,A6731-05,A6736-02,A6735-54,A6737-01,A6735-60,A6735-31,A6735-14,A6731-29,"
A6735-47,"A6735-53,A6735-50,A6735-49,A6735-43,A6735-39,"
A6735-46,"A6735-44,A6735-49,A6735-43,"
A6735-41,"A6735-45,A6735-39,A6735-40,"
A6735-40,"A6735-45,A6735-41,A6735-38,A6735-39,A6735-35,A6735-37,"
A6735-43,"A6735-49,A6735-44,A6735-47,A6735-46,A6735-42,A6735-39,"
A6735-42,"A6735-44,A6735-43,A6735-39,A6735-31,A6735-34,A6735-36,"
A6711-03,"A6711-02,A6710-06,A6711-05,A6711-04,A6719-02,A6711-01,A6723-02,A6723-05,A6722-01,A6723-09,A6722-04,"
A6711-02,"A6711-03,A6711-01,A6710-06,A6711-05,"
A6711-01,"A6711-03,A6711-02,A6710-06,A6711-05,A6724-01,A6723-02,A6723-05,A6709-09,"
A6711-05,"A6711-03,A6711-02,A6711-01,"
A6711-04,"A6711-03,A6722-01,A6723-09,A6722-04,A6723-05,"
A6735-38,"A6735-48,A6735-45,A6735-51,A6735-57,A6735-40,A6735-37,A6735-30,A6735-60,A6735-16,A6735-21,A6735-20,A6735-27,A6735-35,A6735-24,"
A6735-39,"A6735-45,A6735-50,A6735-41,A6735-40,A6735-43,A6735-42,A6735-52,A6735-47,A6735-32,A6735-33,A6735-35,A6735-36,"
A6708-09,"A6710-04,A6710-01,A6707-02,A6708-08,A6709-01,A6708-10,A6708-03,"
A6708-08,"A6707-01,A6707-02,A6713-10,A6708-09,A6708-04,A6708-10,A6708-06,A6708-07,"
A6708-05,"A6708-04,A6708-07,A6708-06,A6708-03,A6708-02,"
A6708-04,"A6702-12,A6702-13,A6713-10,A6708-08,A6708-05,A6708-06,A6708-02,"
A6708-07,"A6708-05,A6708-10,A6708-06,A6708-08,A6708-03,"
A6708-06,"A6708-05,A6708-04,A6708-07,A6708-08,"
A6735-34,"A6735-31,A6735-29,A6735-28,A6735-36,A6735-42,"
A6735-35,"A6735-40,A6735-38,A6735-39,A6735-30,A6735-32,A6735-37,"
A6735-36,"A6735-42,A6735-39,A6735-29,A6735-33,A6735-34,A6735-26,"
A6708-02,"A6702-13,A6701-26,A6708-05,A6708-04,A6708-01,A6708-03,"
A6718-08,"A6718-04,A6718-15,A6718-01,A6718-10,"
A6718-09,"A6718-06,A6718-07,A6718-12,A6718-11,A6718-10,"
A6718-04,"A6718-06,A6718-08,A6718-01,A6718-02,A6718-10,"
A6718-05,"A6718-06,A6718-07,A6718-12,A6718-02,"
A6718-06,"A6718-09,A6718-04,A6718-05,A6718-07,A6718-02,A6718-10,"
A6718-07,"A6718-05,A6718-06,A6718-09,A6718-12,"
A6718-01,"A6718-08,A6718-04,A6718-15,A6718-02,A6718-03,A6720-05,A6720-11,A6722-04,"
A6718-02,"A6731-05,A6718-05,A6731-10,A6718-01,A6718-12,A6718-04,A6720-11,A6720-12,A6718-06,"
A6718-03,"A6718-15,A6726-02,A6726-01,A6718-01,A6722-04,"
A6713-12,"A6713-07,A6712-01,A6713-10,A6713-11,A6716-04,A6713-09,"
A6713-10,"A6713-05,A6702-12,A6707-01,A6712-01,A6713-12,A6713-07,A6708-08,A6713-03,A6708-04,"
A6713-11,"A6713-12,A6713-07,A6713-09,A6713-08,"
A6737-09,"A6734-41,A6737-12,A6734-43,A6737-11,A6737-08,"
A6737-08,"A6737-09,A6737-06,A6737-10,A6737-11,A6737-02,A6734-37,A6734-41,"
A6737-07,"A6736-04,A6737-05,A6737-04,A6737-03,"
A6737-06,"A6737-03,A6737-10,A6737-02,A6737-08,"
A6737-05,"A6736-03,A6736-04,A6737-07,A6737-04,A6737-01,A6734-31,"
A6737-04,"A6737-07,A6737-05,A6737-03,A6734-31,"
A6737-03,"A6736-04,A6737-07,A6737-06,A6737-04,A6737-10,A6737-02,A6734-24,A6734-31,A6734-28,"
A6737-02,"A6737-08,A6737-06,A6737-03,A6734-37,A6734-28,A6734-29,A6734-41,"
A6737-01,"A6736-02,A6736-03,A6735-44,A6737-05,A6734-10,A6734-31,"
A6733-38,"A6733-36,A6733-37,A6733-44,A6733-40,A6733-39,"
A6733-39,"A6733-41,A6727-18,A6733-43,A6733-38,A6733-40,A6733-36,A6733-37,"
A6733-36,"A6736-23,A6727-18,A6733-20,A6733-38,A6733-39,A6733-29,A6733-37,A6733-34,A6733-35,A6733-32,A6733-33,A6733-16,A6733-31,"
A6733-37,"A6733-36,A6733-38,A6733-39,"
A6733-34,"A6733-36,A6733-32,A6733-33,A6733-30,A6733-31,"
A6733-35,"A6727-13,A6732-63,A6732-55,A6727-18,A6733-20,A6733-25,A6733-36,"
A6733-32,"A6733-36,A6733-34,A6733-31,"
A6733-33,"A6733-36,A6733-29,A6733-34,A6733-30,A6733-20,"
A6733-30,"A6733-27,A6733-26,A6733-29,A6733-34,A6733-33,A6733-31,"
